Gene,Curie
CLIP2,ENSEMBL:ENSG00000106665
PI4KA,ENSEMBL:ENSG00000241973
CELSR2,ENSEMBL:ENSG00000143126
FHL2,ENSEMBL:ENSG00000115641
DTX4,ENSEMBL:ENSG00000110042
KLHL3,ENSEMBL:ENSG00000146021
MOSPD2,ENSEMBL:ENSG00000130150
CNPY2,ENSEMBL:ENSG00000257727
CSMD1,ENSEMBL:ENSG00000183117
CADM4,ENSEMBL:ENSG00000105767
CACNA1H,ENSEMBL:ENSG00000196557
MIEF1,ENSEMBL:ENSG00000100335
GYG2,ENSEMBL:ENSG00000056998
BMP2K,ENSEMBL:ENSG00000138756
NBPF10,ENSEMBL:ENSG00000271425
LGALS9C,ENSEMBL:ENSG00000171916
CEMIP,ENSEMBL:ENSG00000103888
STC1,ENSEMBL:ENSG00000159167
TUFT1,ENSEMBL:ENSG00000143367
HLTF,ENSEMBL:ENSG00000071794
ZFHX4,ENSEMBL:ENSG00000091656
CDC37L1,ENSEMBL:ENSG00000106993
IL1F10,ENSEMBL:ENSG00000136697
ADGRE1,ENSEMBL:ENSG00000174837
DYNC1LI2,ENSEMBL:ENSG00000135720
FGFR2,ENSEMBL:ENSG00000066468
CDH10,ENSEMBL:ENSG00000040731
ASH1L,ENSEMBL:ENSG00000116539
MAN1B1,ENSEMBL:ENSG00000177239
MUC4,ENSEMBL:ENSG00000145113
EP300,ENSEMBL:ENSG00000100393
NLK,ENSEMBL:ENSG00000087095
GMEB1,ENSEMBL:ENSG00000162419
HOXB8,ENSEMBL:ENSG00000120068
OTOA,ENSEMBL:ENSG00000155719
THSD4,ENSEMBL:ENSG00000187720
ALDH9A1,ENSEMBL:ENSG00000143149
CALCOCO1,ENSEMBL:ENSG00000012822
KMT2D,ENSEMBL:ENSG00000167548
FRMD4B,ENSEMBL:ENSG00000114541
PTPRM,ENSEMBL:ENSG00000173482
PF4,ENSEMBL:ENSG00000163737
ERC1,ENSEMBL:ENSG00000082805
SLC1A1,ENSEMBL:ENSG00000106688
TBX3,ENSEMBL:ENSG00000135111
SNX6,ENSEMBL:ENSG00000129515
TEKT5,ENSEMBL:ENSG00000153060
BBX,ENSEMBL:ENSG00000114439
CDH20,ENSEMBL:ENSG00000101542
TMEM245,ENSEMBL:ENSG00000106771
RPL18,ENSEMBL:ENSG00000063177
KANK3,ENSEMBL:ENSG00000186994
LRCH3,ENSEMBL:ENSG00000186001
